# PA-STARNet: Pennsylvania Statewide Radio Network

Sites and Frequencies
Red (c) are control channel capable frequencies
RFSS 	Site 	Name 	County 	Freqs
1 (1) 	001 (1) 	Garland (WARR17) 	Warren 	154.2575c	154.8525c	155.1375c	 	 	 
1 (1) 	002 (2) 	Kinzua Dam (WARR34) 	Warren 	159.1275c	159.315c	159.465c	 	 	 
1 (1) 	003 (3) 	Fulton Simulcast 	Fulton 	151.2275c	155.520	156.210c	 	 	 
1 (1) 	004 (4) 	Ellendale (DAUP01) 	Dauphin 	151.3475	158.760c	159.1125c	159.390c	 	 
1 (1) 	005 (5) 	Hilliards (BUTL01) 	Butler 	151.2725c	151.400c	151.445	 	 	 
1 (1) 	006 (6) 	Townville (CRAW01) 	Crawford 	159.090c	159.210c	159.3375c	159.3825c	 	 
1 (1) 	007 (7) 	Cussewago (CRAW37) 	Crawford 	151.3025c	151.3175c	151.3475c	 	 	 
1 (1) 	008 (8) 	Guitonville (FORE07) 	Forest 	151.010	151.145	151.250c	151.460	 	 
1 (1) 	009 (9) 	Seneca (VENA12) 	Venango 	154.205	154.325c	154.935c	 	 	 
1 (1) 	010 (A) 	Findley Twp (MERC31) 	Mercer 	151.010c	154.0625	159.1275c	 	 	 
1 (1) 	011 (B) 	Erie (ERIE80) 	Erie 	151.415c	159.120	159.3675c	 	 	 
1 (1) 	012 (C) 	Erie 800 (ERIE80) 	Erie 	851.425	851.7125c	851.9875c	852.6375c	 	 
1 (1) 	013 (D) 	Five Points 800 (ERIE82) 	Erie 	852.3375c	852.550	852.9875c	 	 	 
1 (1) 	014 (E) 	Edinboro (ERIE92) 	Erie 	852.1375c	852.7625c	852.975c	 	 	 
1 (1) 	015 (F) 	North East 800 (ERIE93) 	Erie 	851.8625	852.250c	852.4875c	852.8875c	 	 
1 (1) 	016 (10) 	Presque Isle (ERIE40) 	Erie 	151.070	151.2125	151.2725c	 	 	 
1 (1) 	017 (11) 	Lawrence Park (ERIE84) 	Erie 	453.975	460.3625	460.375c	 	 	 
1 (1) 	018 (12) 	Wiconisco (DAUP37) 	Dauphin 	856.0625	857.0625	857.4875c	858.2125c	858.4875c	 
1 (1) 	019 (13) 	Grindstone (LAWR06) 	Lawrence 	151.175c	151.295	151.385c	 	 	 
1 (1) 	020 (14) 	Woodbine (BUTL03) 	Butler 	151.0325c	155.405	161.825c	 	 	 
1 (1) 	021 (15) 	Darlington (BEAV01) 	Beaver 	151.1975	155.3025c	155.5425c	 	 	 
1 (1) 	022 (16) 	Blanket Hill (ARMS32) 	Armstrong 	159.1875	161.925c	162.000c	 	 	 
1 (1) 	023 (17) 	Limestone (CLAR05) 	Clarion 	151.130c	151.280c	151.4825	 	 	 
1 (1) 	024 (18) 	Fairchance (FAYE01) 	Fayette 	161.825c	161.8625c	161.9375	 	 	 
1 (1) 	025 (19) 	Nettle Hill (GREE08) 	Greene 	151.115c	151.220	151.415c	 	 	 
1 (1) 	026 (1A) 	Wexford (ALLE28) 	Allegheny 	854.2375	854.5625c	855.9875c	857.0625c	 	 
1 (1) 	027 (1B) 	Tarentum (ALLE41) 	Allegheny 	854.0625	854.3625c	854.6625c	858.0875c	 	 
1 (1) 	029 (1D) 	Oakdale (ALLE601) 	Allegheny 	854.2125	854.5125c	856.5375c	857.1125c	 	 
1 (1) 	030 (1E) 	West Mifflin (ALLE25) 	Allegheny 	854.5875	856.0625c	857.0875c	858.0375c	 	 
1 (1) 	031 (1F) 	Penn Hills (ALLE21) 	Allegheny 	854.0375	854.3375c	856.0375c	857.7375c	 	 
1 (1) 	032 (20) 	Pittsburgh (ALLE59) 	Allegheny 	854.1125	854.4625c	856.0875c	856.7375c	 	 
1 (1) 	033 (21) 	Claysville (WASH03) 	Washington 	151.4675c	155.5275c	156.1275	 	 	 
1 (1) 	034 (22) 	Scenery Hill (WASH49) 	Washington 	155.730c	159.1425	159.3325c	 	 	 
1 (1) 	035 (23) 	Lower Yoder (CAMB02) 	Cambria 	151.1525c	151.295	151.3475c	 	 	 
1 (1) 	036 (24) 	Derry (WEST30) 	Westmoreland 	154.920c	154.935	161.875c	 	 	 
1 (1) 	037 (25) 	Clymer (INDI01) 	Indiana 	158.730	159.1275c	159.375c	 	 	 
1 (1) 	038 (26) 	Rossiter (INDI07) 	Indiana 	151.235	151.4675c	151.475	159.3225c	 	 
1 (1) 	039 (27) 	Bald Knob (SOME02) 	Somerset 	156.410	159.210	161.8375c	161.8875c	 	 
1 (1) 	040 (28) 	Mt Davis (SOME06) 	Somerset 	161.8125c	161.9125c	162.000	 	 	 
1 (1) 	041 (29) 	Martin Hill (BEDF02) 	Bedford 	151.085	151.4825c	154.1375c	 	 	 
1 (1) 	042 (2A) 	Tyrone (CENT04) 	Blair 	158.8125	159.105c	159.240c	 	 	 
1 (1) 	043 (2B) 	Rattlesnake Pike (CENT16) 	Centre 	154.680c	154.695	155.670c	 	 	 
1 (1) 	044 (2C) 	Little Flat (CENT08) 	Centre 	161.8125c	161.850c	161.8875	 	 	 
1 (1) 	045 (2D) 	Riansares Mtn (CLIN41) 	Clinton 	151.385c	154.905c	155.580c	 	 	 
1 (1) 	046 (2E) 	Shade Mtn (SNYD02) 	Snyder 	154.9425c	155.4675	155.505c	 	 	 
